EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=300
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=330
a1532490600,468.15,469.25,457,464,959024
1,463.55,468.2,462.6,468.2,282562
2,471.2,473.8,463.85,464.05,558327
3,468.5,471.6,467.2,471.2,169144
4,467.5,469.15,465,468.45,117210
