Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Pivot,R1,S1,R2,S2
24-Jan-2017,8407.05,8480.95,8398.15,8475.8,184745781,8524.17,8374.28,8421.36,8344.41,8451.23,8297.33
25-Jan-2017,8499.45,8612.6,8493.95,8602.75,301490150,13901.89,8451.63,8505.11,8422.31,8534.43,8368.83
27-Jan-2017,8610.5,8672.7,8606.9,8641.25,283905821,11568.92,8569.77,8645.59,8526.94,8688.42,8451.12
30-Jan-2017,8635.55,8662.6,8617.75,8632.75,314110760,9333.49,8640.28,8673.66,8607.86,8706.08,8574.48
31-Jan-2017,8629.45,8631.75,8552.4,8561.3,537110119,14721.17,8637.7,8657.65,8612.8,8682.55,8592.85
01-Feb-2017,8570.35,8722.4,8537.5,8716.4,337797412,13494.05,8581.82,8611.24,8531.89,8661.17,8502.47
02-Feb-2017,8724.75,8757.6,8685.8,8734.25,292329202,11555.02,8658.77,8780.04,8595.14,8843.67,8473.87
03-Feb-2017,8735.15,8748.25,8707.75,8740.95,196936238,8193.45,8725.88,8765.96,8694.16,8797.68,8654.08
06-Feb-2017,8785.45,8814.1,8770.2,8801.05,200403782,8701.51,8732.32,8756.89,8716.39,8772.82,8691.82
07-Feb-2017,8805.7,8809.3,8741.05,8768.3,233294532,9060.63,8795.12,8820.04,8776.14,8839.02,8751.22
08-Feb-2017,8774.55,8791.25,8715.0,8769.05,225485726,9110.24,8772.88,8804.71,8736.46,8841.13,8704.63
09-Feb-2017,8795.55,8821.4,8724.1,8778.4,193282248,8972.67,8758.43,8801.86,8725.61,8834.68,8682.18
10-Feb-2017,8812.35,8822.1,8771.2,8793.55,232947341,10320.17,8774.63,8825.16,8727.86,8871.93,8677.33
13-Feb-2017,8819.8,8826.9,8754.2,8805.05,211180353,8659.48,8795.62,8820.04,8769.14,8846.52,8744.72
14-Feb-2017,8819.9,8820.45,8772.5,8792.3,194133563,8494.44,8795.38,8836.56,8763.86,8868.08,8722.68
15-Feb-2017,8778.95,8807.9,8712.85,8724.7,222828919,10472.37,8795.08,8817.66,8769.71,8843.03,8747.13
16-Feb-2017,8739.0,8783.95,8719.6,8778.0,190277738,9695.63,8748.48,8784.11,8689.06,8843.53,8653.43
17-Feb-2017,8883.7,8896.45,8804.25,8821.7,307526025,23432.58,8760.52,8801.44,8737.09,8824.87,8696.17
20-Feb-2017,8818.55,8886.25,8809.8,8879.2,173022362,7833.53,8840.8,8877.35,8785.15,8933.0,8748.6
